"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependants","own_telephone","foreign_worker","class"
"no checking",24,"critical/order existing credit","used car",3868,"low savings","7 or more years",4,"female div/dep/mar","none",2,"car",41,"stores","rent",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"low balance",24,"critical/order existing credit","used car",7758,"high savings","7 or more years",2,"female div/dep/mar","none",4,"no known property",29,"stores","rent",1,"skilled",1,"none","yes","good"
"low balance",18,"existing paid","furniture/equipment",3001,"low savings","4-6 years",2,"female div/dep/mar","none",4,"real estate",40,"stores","rent",1,"skilled",1,"none","yes","good"
"adequate balance",21,"existing paid","new car",2923,"low savings","1-3 years",1,"female div/dep/mar","none",1,"car",28,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","furniture/equipment",1258,"low savings","less than 1 year",2,"female div/dep/mar","none",4,"life insurance",22,"stores","rent",2,"unskilled resident",1,"none","yes","good"
"low balance",18,"no credits/all paid","furniture/equipment",3244,"low savings","1-3 years",1,"female div/dep/mar","none",4,"car",33,"bank","own",2,"skilled",1,"yes","yes","good"
"low balance",24,"critical/order existing credit","education",5743,"low savings","less than 1 year",2,"female div/dep/mar","none",4,"no known property",24,"stores","for free",2,"skilled",1,"yes","yes","good"
"no checking",4,"critical/order existing credit","new car",1455,"low savings","4-6 years",2,"male single","none",1,"real estate",42,"stores","own",3,"unskilled resident",2,"none","yes","good"
"no checking",24,"existing paid","radio/tv",1552,"low savings","4-6 years",3,"male single","none",1,"car",32,"bank","own",1,"skilled",2,"none","yes","good"
"overdrawn",6,"critical/order existing credit","new car",4716,"no known savings","less than 1 year",1,"male single","none",3,"real estate",44,"stores","own",2,"unskilled resident",2,"none","yes","good"
"no checking",15,"delayed previously","radio/tv",1478,"low savings","1-3 years",4,"male mar/wid","none",3,"real estate",33,"bank","own",2,"skilled",1,"none","yes","good"
"overdrawn",18,"existing paid","new car",4380,"low savings","1-3 years",3,"male single","none",4,"car",35,"stores","own",1,"unskilled resident",2,"yes","yes","good"
"low balance",9,"existing paid","furniture/equipment",2030,"no known savings","4-6 years",2,"male single","none",1,"car",24,"stores","own",1,"skilled",1,"yes","yes","good"
"adequate balance",12,"all paid","radio/tv",409,"high savings","1-3 years",3,"female div/dep/mar","none",3,"real estate",42,"stores","rent",2,"skilled",1,"none","yes","good"
"no checking",9,"existing paid","furniture/equipment",2301,"low savings","less than 1 year",2,"female div/dep/mar","none",4,"life insurance",22,"stores","rent",1,"skilled",1,"none","yes","good"
"overdrawn",13,"critical/order existing credit","business",1797,"low savings","less than 1 year",3,"male single","none",1,"life insurance",28,"bank","own",2,"unskilled resident",1,"none","yes","good"
"no checking",24,"delayed previously","business",2375,"low savings","1-3 years",4,"male single","none",2,"car",44,"stores","own",2,"skilled",2,"yes","yes","good"
"low balance",12,"existing paid","business",841,"low savings","4-6 years",2,"female div/dep/mar","none",4,"real estate",23,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"no checking",12,"critical/order existing credit","new car",1495,"low savings","7 or more years",4,"male single","none",1,"real estate",38,"stores","own",2,"unskilled resident",2,"none","yes","good"
"overdrawn",12,"existing paid","new car",1893,"low savings","1-3 years",4,"female div/dep/mar","guarantor",4,"life insurance",29,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",24,"delayed previously","business",2375,"low savings","1-3 years",4,"male single","none",2,"car",44,"stores","own",2,"skilled",2,"yes","yes","good"
"overdrawn",36,"existing paid","furniture/equipment",3959,"low savings","unemployed",4,"male single","none",3,"life insurance",30,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"adequate balance",24,"existing paid","furniture/equipment",3749,"low savings","less than 1 year",2,"female div/dep/mar","none",4,"car",26,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",24,"critical/order existing credit","radio/tv",2611,"low savings","7 or more years",4,"male mar/wid","co applicant",3,"real estate",46,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",12,"existing paid","new car",2133,"no known savings","7 or more years",4,"female div/dep/mar","none",4,"no known property",52,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",48,"critical/order existing credit","business",7629,"no known savings","7 or more years",4,"male div/sep","none",2,"car",46,"bank","own",2,"high qualif/self emp/mgmt",2,"none","yes","good"
"no checking",30,"critical/order existing credit","radio/tv",5954,"low savings","4-6 years",3,"male single","co applicant",2,"car",38,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",12,"critical/order existing credit","new car",1995,"low savings","less than 1 year",4,"male single","none",1,"car",27,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",9,"existing paid","radio/tv",2118,"low savings","1-3 years",2,"male single","none",2,"real estate",37,"stores","own",1,"unskilled resident",2,"none","yes","good"
"adequate balance",30,"critical/order existing credit","radio/tv",3017,"low savings","7 or more years",4,"male single","none",4,"life insurance",47,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",24,"critical/order existing credit","radio/tv",1743,"low savings","7 or more years",4,"male single","none",2,"life insurance",48,"stores","own",2,"unskilled resident",1,"none","yes","good"
"overdrawn",24,"existing paid","furniture/equipment",7721,"no known savings","less than 1 year",1,"female div/dep/mar","none",2,"life insurance",30,"stores","own",1,"skilled",1,"yes","no","good"
"overdrawn",18,"existing paid","radio/tv",2389,"low savings","less than 1 year",4,"female div/dep/mar","none",1,"car",27,"unknown","own",1,"skilled",1,"none","yes","good"
"overdrawn",15,"critical/order existing credit","furniture/equipment",1433,"low savings","1-3 years",4,"female div/dep/mar","none",3,"life insurance",25,"stores","rent",2,"skilled",1,"none","yes","good"
"overdrawn",36,"existing paid","used car",5493,"low savings","7 or more years",2,"male single","none",4,"no known property",42,"stores","for free",1,"skilled",2,"none","yes","good"
"no checking",12,"existing paid","radio/tv",707,"low savings","1-3 years",4,"male single","none",2,"real estate",30,"bank","own",2,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","radio/tv",3181,"low savings","less than 1 year",4,"female div/dep/mar","none",4,"life insurance",26,"stores","own",1,"skilled",1,"yes","yes","good"
"adequate balance",24,"critical/order existing credit","business",1275,"high savings","1-3 years",2,"male div/sep","none",4,"real estate",36,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",12,"no credits/all paid","furniture/equipment",2759,"low savings","7 or more years",2,"male single","none",4,"life insurance",34,"stores","own",2,"skilled",1,"none","yes","good"
"adequate balance",36,"existing paid","radio/tv",5848,"low savings","1-3 years",4,"male single","none",1,"car",24,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",12,"existing paid","furniture/equipment",3017,"low savings","less than 1 year",3,"female div/dep/mar","none",1,"real estate",34,"stores","rent",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"no checking",12,"critical/order existing credit","new car",1495,"low savings","7 or more years",4,"male single","none",1,"real estate",38,"stores","own",2,"unskilled resident",2,"none","yes","good"
"low balance",20,"delayed previously","other",2629,"low savings","1-3 years",2,"male single","none",3,"car",29,"bank","own",2,"skilled",1,"yes","yes","good"
"low balance",15,"existing paid","radio/tv",1444,"no known savings","less than 1 year",4,"male single","none",1,"life insurance",23,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",9,"critical/order existing credit","new car",2134,"low savings","1-3 years",4,"male single","none",4,"car",48,"stores","own",3,"skilled",1,"yes","yes","good"
"adequate balance",24,"existing paid","radio/tv",1377,"low savings","7 or more years",4,"female div/dep/mar","none",2,"no known property",47,"stores","for free",1,"skilled",1,"yes","yes","good"
"overdrawn",6,"critical/order existing credit","radio/tv",1957,"low savings","4-6 years",1,"female div/dep/mar","none",4,"car",31,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",6,"existing paid","radio/tv",1346,"low savings","7 or more years",2,"male single","none",4,"no known property",42,"bank","for free",1,"skilled",2,"yes","yes","good"
"adequate balance",10,"critical/order existing credit","radio/tv",1347,"no known savings","4-6 years",4,"male single","none",2,"life insurance",27,"stores","own",2,"skilled",1,"yes","yes","good"
"low balance",18,"existing paid","business",1913,"high savings","less than 1 year",3,"male mar/wid","none",3,"real estate",36,"bank","own",1,"skilled",1,"yes","yes","good"
"low balance",12,"critical/order existing credit","radio/tv",3573,"low savings","1-3 years",1,"female div/dep/mar","none",1,"real estate",23,"stores","own",1,"unskilled resident",1,"none","yes","good"
"low balance",12,"existing paid","new car",7472,"no known savings","unemployed",1,"female div/dep/mar","none",2,"real estate",24,"stores","rent",1,"unemp/unskilled non res",1,"none","yes","good"
"adequate balance",12,"existing paid","new car",1330,"low savings","less than 1 year",4,"male single","none",1,"real estate",26,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",15,"critical/order existing credit","used car",3368,"high savings","7 or more years",3,"male single","none",4,"no known property",23,"stores","rent",2,"skilled",1,"yes","yes","good"
"no checking",36,"critical/order existing credit","business",6304,"no known savings","7 or more years",4,"male single","none",4,"real estate",36,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",30,"critical/order existing credit","radio/tv",2831,"low savings","1-3 years",4,"female div/dep/mar","none",2,"car",33,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",12,"existing paid","new car",2859,"no known savings","unemployed",4,"male single","none",4,"no known property",38,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"existing paid","new car",2390,"no known savings","7 or more years",4,"male single","none",3,"car",50,"stores","own",1,"skilled",1,"yes","yes","good"
"overdrawn",36,"existing paid","new car",3249,"low savings","4-6 years",2,"male single","none",4,"no known property",39,"bank","for free",1,"high qualif/self emp/mgmt",2,"yes","yes","good"
"no checking",36,"critical/order existing credit","used car",5842,"low savings","7 or more years",2,"male single","none",2,"life insurance",35,"stores","own",2,"skilled",2,"yes","yes","good"
"no checking",12,"existing paid","radio/tv",707,"low savings","1-3 years",4,"male single","none",2,"real estate",30,"bank","own",2,"skilled",1,"none","yes","good"
"no checking",6,"no credits/all paid","radio/tv",426,"low savings","7 or more years",4,"male mar/wid","none",4,"car",39,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",36,"existing paid","used car",4686,"low savings","1-3 years",2,"male single","none",2,"no known property",32,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"existing paid","business",1542,"low savings","4-6 years",2,"male single","none",4,"car",36,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",18,"critical/order existing credit","radio/tv",1582,"high savings","7 or more years",4,"male single","none",4,"car",46,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","radio/tv",2284,"low savings","4-6 years",4,"male single","none",2,"car",28,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",24,"critical/order existing credit","radio/tv",2223,"low savings","7 or more years",4,"male single","none",4,"life insurance",52,"bank","own",2,"skilled",1,"none","yes","good"
"no checking",18,"critical/order existing credit","furniture/equipment",3780,"low savings","less than 1 year",3,"male div/sep","none",2,"car",35,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","business",1412,"low savings","1-3 years",4,"female div/dep/mar","guarantor",2,"real estate",29,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",24,"critical/order existing credit","radio/tv",1516,"high savings","1-3 years",4,"female div/dep/mar","none",1,"real estate",43,"stores","own",2,"unskilled resident",1,"none","yes","good"
"no checking",12,"critical/order existing credit","business",1264,"no known savings","7 or more years",4,"male single","none",4,"no known property",57,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"low balance",12,"no credits/all paid","retraining",1410,"low savings","1-3 years",2,"male single","none",2,"real estate",31,"stores","own",1,"unskilled resident",1,"yes","yes","good"
